GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zyra,com.mingweisamuel.zyra.lolStatusV3,Incident,91,0,12,0,17,0,9,0,3,0
zyra,com.mingweisamuel.zyra.lolStatusV3,Translation,71,0,10,0,13,0,8,0,3,0
zyra,com.mingweisamuel.zyra.lolStatusV3,Message,127,0,18,0,21,0,12,0,3,0
zyra,com.mingweisamuel.zyra.lolStatusV3,Service,85,0,12,0,15,0,9,0,3,0
zyra,com.mingweisamuel.zyra.lolStatusV3,ShardStatus,113,0,16,0,19,0,11,0,3,0
zyra,com.mingweisamuel.zyra.leagueV4,LeagueEntry,246,0,32,0,42,0,19,0,3,0
zyra,com.mingweisamuel.zyra.leagueV4,MiniSeries,94,0,12,0,18,0,9,0,3,0
zyra,com.mingweisamuel.zyra.leagueV4,LeagueList,99,0,14,0,17,0,10,0,3,0
zyra,com.mingweisamuel.zyra.leagueV4,LeaguePosition,274,0,36,0,46,0,21,0,3,0
zyra,com.mingweisamuel.zyra.leagueV4,LeagueItem,204,0,26,0,36,0,16,0,3,0
zyra,com.mingweisamuel.zyra.entity,MatchEntity.TeamEntity,46,0,2,0,9,0,7,0,6,0
zyra,com.mingweisamuel.zyra.entity,MatchEntity.ParticipantEntity,135,0,8,0,22,0,16,0,12,0
zyra,com.mingweisamuel.zyra.entity,SummonerEntity,466,430,37,19,90,80,57,35,34,30
zyra,com.mingweisamuel.zyra.entity,Entity,3,9,0,0,1,4,1,1,1,1
zyra,com.mingweisamuel.zyra.entity,EntityApi.EntityKey,10,48,6,6,1,10,6,3,0,3
zyra,com.mingweisamuel.zyra.entity,MatchEntity,163,79,10,0,21,12,22,7,17,7
zyra,com.mingweisamuel.zyra.entity,EntityApi,166,153,6,2,29,23,15,10,11,10
zyra,com.mingweisamuel.zyra,LeagueV4Endpoints.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
zyra,com.mingweisamuel.zyra,ThirdPartyCodeV4Endpoints,41,4,0,0,6,2,2,1,2,1
zyra,com.mingweisamuel.zyra,Endpoints,0,6,0,0,0,3,0,1,0,1
zyra,com.mingweisamuel.zyra,MatchV4Endpoints,349,170,0,0,31,17,19,6,19,6
zyra,com.mingweisamuel.zyra,LeagueV4Endpoints,436,53,0,0,58,10,18,3,18,3
zyra,com.mingweisamuel.zyra,TournamentStubV4Endpoints,41,4,0,0,6,2,2,1,2,1
zyra,com.mingweisamuel.zyra,RiotApi,47,229,2,12,7,36,7,16,5,11
zyra,com.mingweisamuel.zyra,ChampionMasteryV4Endpoints,0,145,0,0,0,22,0,7,0,7
zyra,com.mingweisamuel.zyra,TournamentV4Endpoints,82,4,0,0,12,2,4,1,4,1
zyra,com.mingweisamuel.zyra,LolStatusV3Endpoints,0,31,0,0,0,8,0,3,0,3
zyra,com.mingweisamuel.zyra,SpectatorV4Endpoints,0,72,0,0,0,14,0,5,0,5
zyra,com.mingweisamuel.zyra,ChampionV3Endpoints,0,31,0,0,0,8,0,3,0,3
